FECHA;HORA;CO_CENTENARIO;NO2_CENTENARIO;PM10_CENTENARIO;CO_CORDOBA;NO2_CORDOBA;PM10_CORDOBA;CO_LA_BOCA;NO2_LA_BOCA;PM10_LA_BOCA
07/01/2017;9;0,57; ; ;0,05;7;37;0,68;11;45
07/01/2017;10;0,56; ; ;0,05;8;37;0,67;11;44
07/01/2017;11;0,56; ; ;0,05;7;36;0,67;10;43
07/01/2017;12;0,58; ; ;0,06;7;35;0,67;9;42
07/01/2017;13;0,6; ; ;0,06;7;33;0,66;8;42
07/01/2017;14;0,62; ; ;0,08;8;31;0,66;8;41
07/01/2017;15;0,64; ; ;0,09;14;30;0,64;7;41
07/01/2017;16;0,66; ; ;0,11;16;30;0,63;6;41
07/01/2017;17;0,67; ; ;0,12;15;30;0,63;5;40
07/01/2017;18;0,68; ; ;0,13;11;30;0,63;5;38
07/01/2017;19;0,67; ; ;0,15;11;30;0,63;5;38
07/01/2017;20;0,67; ; ;0,16;8;30;0,64;5;43
07/01/2017;21;0,67; ; ;0,19;9;30;0,65;5;41
07/01/2017;22;0,7; ; ;0,22;10;29;0,68;4;41
07/01/2017;23;0,73; ; ;0,26;10;30;0,69;7;40
07/01/2017;24;0,77; ; ;0,3;10;31;0,7;12;43
08/01/2017;1;0,77; ; ;0,33;9;31;0,71;28;47
08/01/2017;2;0,77; ; ;0,35;10;30;0,72;66;45
08/01/2017;3;0,77; ; ;0,34;11;29;0,72;39;46
08/01/2017;4;0,77; ; ;0,34;10;30;0,72;12;46
08/01/2017;5;0,76; ; ;0,32;9;29;0,72;7;46
08/01/2017;6;0,72; ; ;0,32;8;29;0,71;6;46
08/01/2017;7;0,67; ; ;0,32;8;29;0,71;8;46
08/01/2017;8;0,61; ; ;0,3;8;30;0,73;6;47
08/01/2017;9;0,6; ; ;0,3;10;31;0,73;7;48
08/01/2017;10;0,59; ; ;0,3;10;33;0,74;6;50
08/01/2017;11;0,58; ; ;0,34;12;33;0,75;5;49
08/01/2017;12;0,58; ; ;0,37;12;33;0,76;5;49
08/01/2017;13;0,59; ; ;0,42;14;33;0,77;5;48
08/01/2017;14;0,62; ; ;0,44;10;35;0,77;3;51
08/01/2017;15;0,64; ; ;0,46;9;35;0,78;4;52
08/01/2017;16;0,66; ; ;0,49;11;36;0,79;4;52
08/01/2017;17;0,67; ; ;0,53;14;36;0,79;5;53
08/01/2017;18;0,69; ; ;0,56;14;37;0,8;4;58
08/01/2017;19;0,71; ; ;0,59;13;38;0,81;4;59
08/01/2017;20;0,71; ; ;0,59;11;39;0,81;5;59
08/01/2017;21;0,71; ; ;0,56;8;40;0,81;5;58
08/01/2017;22;0,71; ; ;0,56;9;40;0,81;4;55
08/01/2017;23;0,7; ; ;0,57;11;39;0,82;5;56
08/01/2017;24;0,71; ; ;0,58;11;39;0,83;6;54
09/01/2017;1;0,72; ; ;0,57;10;39;0,82;9;52
09/01/2017;2;0,71; ; ;0,56;11;41;0,81;9;54
09/01/2017;3;0,72; ; ;0,54;10;43;0,8;7;54
09/01/2017;4;0,71; ; ;0,53;9;43;0,79;7;57
09/01/2017;5;0,7; ; ;0,53;8;45;0,79;6;59
09/01/2017;6;0,7; ; ;0,52;10;47;0,78;6;61
09/01/2017;7;0,7; ; ;0,52;9;49;0,77;5;65
09/01/2017;8;0,71; ; ;0,55;12;50;0,78;8;66
09/01/2017;9;0,73; ; ;0,55;11;49;0,79;9;63
09/01/2017;10;0,77; ; ;0,54;13;47;0,81;7;61
09/01/2017;11;0,8; ; ;0,54;15;46;0,82;7;62
09/01/2017;12;0,83; ; ;0,54;13;47;0,83;9;63
09/01/2017;13;0,87; ; ;0,54;11;46;0,84;6;63
09/01/2017;14;0,9; ; ;0,54;12;44;0,84;6;59
09/01/2017;15;0,93; ; ;0,52;12;44;0,84;5;58
09/01/2017;16;0,95; ; ;0,46;14;43;0,83;4;57
09/01/2017;17; ; ; ;0,43;13;42;0,82;6;55
09/01/2017;18; ; ; ;0,42;10;41;0,83;6;53
09/01/2017;19; ; ; ;0,5;17;41;0,82;10;52
09/01/2017;20; ; ; ;0,53;11;41;0,81;20;51
09/01/2017;21; ; ; ;0,55;8;39;0,8;25;51
09/01/2017;22; ; ; ;0,56;9;39;0,8;38;50
09/01/2017;23;0,83; ; ;0,55;8;38;0,8;7;48
09/01/2017;24;0,8; ; ;0,54;8;36;0,8;40;46
10/01/2017;1;0,78; ; ;0,55;8;35;0,78;20;43
10/01/2017;2;0,76; ; ;0,52;7;34;0,74;7;42
10/01/2017;3;0,7; ; ;0,41;7;32;0,73;7;41
10/01/2017;4;0,64; ; ;0,33;7;31;0,72;6;38
10/01/2017;5;0,61; ; ;0,28;7;29;0,7;7;35
10/01/2017;6;0,59; ; ;0,24;7;27;0,68;7;33
10/01/2017;7;0,58; ; ;0,22;9;25;0,67;6;28
10/01/2017;8;0,59; ; ;0,23;10;24;0,66;7;25
10/01/2017;9;0,6; ;23;0,27;10;25;0,67;8;26
10/01/2017;10;0,62; ;23;0,33;12;26;0,68;7;26
10/01/2017;11;0,66; ;23;0,4;14;27;0,68;6;25
10/01/2017;12;0,71; ;24;0,47;16;27;0,68;8;25
10/01/2017;13;0,74; ;24;0,54;14;29;0,68;6;25
10/01/2017;14;0,75; ;25;0,61;14;29;0,68;6;25
10/01/2017;15;0,75; ;23;0,64;13;29;0,67;6;25
10/01/2017;16;0,74; ;23;0,64;13;29;0,66;7;26
10/01/2017;17;0,71; ;24;0,6;14;29;0,65;8;26
10/01/2017;18;0,69; ;24;0,55;11;29;0,66;10;25
10/01/2017;19;0,65; ;24;0,52;12;29;0,66;11;23
10/01/2017;20;0,62; ;23;0,48;13;26;0,67;13;19
10/01/2017;21;0,61; ;23;0,45;13;27;0,67;12;19
10/01/2017;22;0,63; ;23;0,41;13;28;0,68;13;20
10/01/2017;23;0,65; ;23;0,37;12;28;0,69;12;20
10/01/2017;24;0,67; ;23;0,33;10;27;0,69;12;19
11/01/2017;1;0,68; ;23;0,29;10;27;0,69;11;20
11/01/2017;2;0,68; ;23;0,26;9;27;0,69;10;19
11/01/2017;3;0,68; ;23;0,24;8;27;0,68;9;19
11/01/2017;4;0,66; ;23;0,21;7;27;0,67;7;19
11/01/2017;5;0,64; ;23; ;4;27;0,66;8;19
11/01/2017;6;0,62; ;23; ;4;26;0,66;7;19
11/01/2017;7;0,6; ;23; ;4;26;0,65;12;19
11/01/2017;8;0,59; ;23; ;5;25;0,66;12;19
11/01/2017;9;0,6; ;23; ;6;24;0,67;12;20
11/01/2017;10;0,62; ;23; ;7;23;0,68;11;21
11/01/2017;11;0,66; ;23; ;7;22;0,69;12;21
11/01/2017;12;0,71; ;23; ;8;21;0,71;13;22
11/01/2017;13;0,73; ;23; ;8;21;0,71;13;22
11/01/2017;14;0,77; ;23; ;31;21;0,72;11;23
11/01/2017;15; ; ;23; ;11;21;0,71;11;23
11/01/2017;16; ; ;23; ;10;22;0,71;11;24
11/01/2017;17; ; ;23; ;9;22;0,7;10;24
11/01/2017;18; ; ;23; ;10;22;0,7;12;24
11/01/2017;19; ; ;23; ;12;21;0,7;11;25
11/01/2017;20; ; ;23; ;11;22;0,72;17;25
11/01/2017;21;0,62; ;23; ;11;21;0,73;19;25
11/01/2017;22;0,64; ;23;0,14;12;22;0,76;17;26
11/01/2017;23;0,65; ;23;0,16;13;22;0,78;18;27
11/01/2017;24;0,67; ;23;0,18;12;23;0,8;15;28
12/01/2017;1;0,7; ;24;0,21;12;23;0,81;16;28
12/01/2017;2;0,72; ;25;0,26;11;23;0,82;17;29
12/01/2017;3;0,73; ;25;0,29;9;24;0,81;15;30
12/01/2017;4;0,7; ;26;0,3;6;24;0,79;12;30
12/01/2017;5;0,66; ;26;0,3;6;24;0,77;13;30
12/01/2017;6;0,61; ;26;0,29;6;24;0,75;13;31
12/01/2017;7;0,57; ;26;0,28;8;25;0,75;21;32
12/01/2017;8;0,53; ;26;0,26;8;25;0,75;20;32
12/01/2017;9;0,5; ;25;0,24; ;25;0,75;18;33
12/01/2017;10;0,46; ;25;0,23; ;25;0,75;19;33
12/01/2017;11;0,44; ;25;0,26;14;26;0,76;21;34
12/01/2017;12;0,44; ;24;0,29;12;27;0,76;20;35
12/01/2017;13;0,46; ;24;0,3; ;27;0,77;10;35
12/01/2017;14;0,49; ;24;0,32; ;27;0,77;10;34
12/01/2017;15;0,5; ;24; ; ;28;0,75;10;33
12/01/2017;16;0,51; ;24; ; ;27;0,73;8;32
12/01/2017;17;0,5; ;24; ; ;27;0,72;10;32
12/01/2017;18;0,5; ;24; ; ;28;0,71;11;31
12/01/2017;19;0,49; ;24; ; ;29;0,71;14;31
12/01/2017;20;0,5; ;24; ; ;28;0,72;14;32
12/01/2017;21;0,51; ;24; ;23;28;0,73;19;33
12/01/2017;22;0,53; ;24; ;18;28;0,73;20;33
12/01/2017;23;0,55; ;25; ;16;27;0,74;19;35
12/01/2017;24;0,55; ;25; ;14;26;0,74;12;34
13/01/2017;1;0,56; ;25; ;12;26;0,74;13;35
13/01/2017;2;0,55; ;24;0,17;9;25;0,75;10;34
13/01/2017;3;0,55; ;24;0,16;8;25;0,74;9;32
13/01/2017;4;0,52; ;24;0,14;7;24;0,74;8;33
13/01/2017;5;0,49; ;24;0,14;7;24;0,73;8;35
13/01/2017;6;0,44; ;24;0,15;7;23;0,73;9;35
13/01/2017;7;0,41; ;24; ;10;23;0,74;9;33
13/01/2017;8;0,39; ;23; ;15;22;0,76;10;32
13/01/2017;9;0,4; ;23; ;18;22;0,77;14;33
13/01/2017;10;0,43; ;24; ;20;23;0,79;12;33
13/01/2017;11;0,47; ;25; ;23;23;0,81;10;37
13/01/2017;12;0,5; ;25; ;22;23;0,82;8;40
13/01/2017;13;0,55; ;26; ;26;24;0,84;6;41
13/01/2017;14;0,59; ;27;0,52;32;23;0,85;5;40
13/01/2017;15;0,64; ;27;0,59;27;24;0,87;4;41
13/01/2017;16;0,66; ;27;0,66;32;25;0,78; ;41
13/01/2017;17;0,65; ;28;0,77;24;27;0,73; ;40
13/01/2017;18;0,62; ;29;0,8;16;28;0,69; ;41
13/01/2017;19;0,58; ;29;0,82;16;29;0,66; ;42
13/01/2017;20;0,54; ;30;0,78;16;31;0,64; ;43
13/01/2017;21;0,5; ;31;0,71;15;32;0,61; ;43
13/01/2017;22;0,46; ;31;0,62;14;33;0,6; ;42
13/01/2017;23;0,41; ;31;0,52;13;33;0,6; ;40
13/01/2017;24;0,37; ;31;0,4;12;34;0,63; ;40
14/01/2017;1;0,35; ;31;0,32;15;35;0,59; ;39
14/01/2017;2;0,33; ;31;0,29;15;36;0,55; ;40
14/01/2017;3;0,31; ;32;0,26;14;37;0,51; ;41
14/01/2017;4;0,29; ;31;0,24;14;37;0,47; ;40
14/01/2017;5;0,28; ;32;0,23;13;38;0,42; ;39
14/01/2017;6;0,26; ;32;0,23;13;38;0,39; ;39
14/01/2017;7;0,24; ;32;0,23;12;39;0,37; ;40
14/01/2017;8;0,24; ;32;0,23;13;40;0,34; ;39
14/01/2017;9;0,24; ;32;0,22;13;40;0,34; ;39
14/01/2017;10;0,24; ;31;0,22;13;40;0,33; ;37
14/01/2017;11;0,24; ;30;0,22;14;39;0,32; ;33
14/01/2017;12;0,26; ;30;0,23;12;38;0,31; ;29
14/01/2017;13;0,29; ;28;0,25;13;38;0,31; ;28
14/01/2017;14;0,32; ;28;0,27;15;38;0,29; ;28
14/01/2017;15;0,33; ;28;0,29;15;36;0,28; ;29
14/01/2017;16;0,33; ;28;0,3;12;35;0,27; ;29
14/01/2017;17;0,33; ;27;0,32;12;32;0,26; ;31
14/01/2017;18;0,32; ;26;0,34;14;30;0,24; ;31
14/01/2017;19;0,31; ;24;0,35;15;29;0,24; ;32
14/01/2017;20;0,29; ;24;0,36;15;28;0,24; ;32
14/01/2017;21;0,28; ;22;0,37;18;27;0,24; ;33
14/01/2017;22;0,28; ;21;0,38;19;27;0,25; ;34
14/01/2017;23;0,29; ;21;0,4;20;26;0,26; ;33
14/01/2017;24;0,31; ;20;0,42;19;26;0,29; ;32
15/01/2017;1;0,33; ;20;0,41;15;25;0,33; ;33
15/01/2017;2;0,36; ;19;0,41;14;25;0,35; ;32
15/01/2017;3;0,39; ;19;0,4;14;25;0,37; ;31
15/01/2017;4;0,41; ;19;0,37;10;24;0,38; ;31
15/01/2017;5;0,41; ;18;0,33;7;24;0,4; ;32
15/01/2017;6;0,39; ;18;0,29;6;24;0,42; ;32
15/01/2017;7;0,37; ;18;0,24;9;24;0,43; ;31
15/01/2017;8;0,35; ;18;0,19;9;23;0,44; ;31
15/01/2017;9;0,33; ;18;0,17;10;23;0,43; ;31
15/01/2017;10;0,3; ;18;0,17;13;23;0,43; ;31
15/01/2017;11;0,28; ;17;0,16;14;22;0,44; ;30
15/01/2017;12;0,27; ;17;0,2;14;22;0,46; ;30
15/01/2017;13;0,28; ;17;0,24;17;22;0,47; ;31
15/01/2017;14;0,29; ;16;0,26;16;21;0,48; ;32
15/01/2017;15;0,3; ;16;0,28;14;22;0,49; ;35
15/01/2017;16;0,3; ;16;0,3;12;22;0,5; ;42
15/01/2017;17;0,31; ;16;0,31;13;22;0,5; ;45
15/01/2017;18;0,32; ;17;0,31;18;22;0,52; ;43
15/01/2017;19;0,33; ;17;0,31;17;21;0,53; ;40
15/01/2017;20;0,33; ;17;0,29;16;21;0,52; ;37
15/01/2017;21;0,33; ;17;0,28;16;21;0,53; ;37
15/01/2017;22;0,33; ;17;0,28;15;21;0,53; ;42
15/01/2017;23;0,34; ;17;0,27;11;22;0,51; ;46
15/01/2017;24;0,34; ;17;0,27;10;21;0,51; ;47
16/01/2017;1;0,34; ;17;0,27;10;21;0,5; ;47
16/01/2017;2;0,34; ;16;0,26;8;21;0,47; ;46
16/01/2017;3;0,32; ;16;0,25;6;21;0,45; ;48
16/01/2017;4;0,31; ;16;0,24;5;21;0,43; ;47
16/01/2017;5;0,29; ;16;0,22;6;20;0,41; ;46
16/01/2017;6;0,28; ;15;0,21;7;20;0,4; ;46
16/01/2017;7;0,26; ;15;0,22;11;19;0,42; ;46
16/01/2017;8;0,25; ;15;0,24;14;19;0,46; ;47
16/01/2017;9;0,25; ;15;0,26;15;20;0,48; ;46
16/01/2017;10;0,27; ;15;0,31;17;20;0,52; ;46
16/01/2017;11;0,29; ;15;0,36;16;21;0,54; ;46
16/01/2017;12;0,31; ;15;0,42;17;21;0,57;129;47
16/01/2017;13;0,33; ;15;0,49;16;20;0,59;52;46
16/01/2017;14;0,35; ;14;0,56;14;20;0,6;34;46
16/01/2017;15;0,38; ;14;0,63;12;20;0,57;30;41
16/01/2017;16;0,39; ;14;0,7;14;20;0,55;27;33
16/01/2017;17;0,39; ;14;0,75;13;21;0,54;27;28
16/01/2017;18;0,39; ;14;0,79;15;22;0,55;23;35
16/01/2017;19;0,4; ;14;0,83;16;23;0,55;21;40
16/01/2017;20;0,42; ;15;0,85;14;24;0,55;18;41
16/01/2017;21;0,43; ;15;0,85;21;24;0,53;16;43
16/01/2017;22;0,45; ;16;0,84;16;24;0,53;16;36
16/01/2017;23;0,45; ;16;0,81;18;23;0,53;14;32
16/01/2017;24;0,46; ;17;0,78;17;23;0,52;12;33
17/01/2017;1;0,45; ;17;0,75;18;24;0,5;13;33
17/01/2017;2;0,45; ;18;0,69;16;24;0,47;13;35
17/01/2017;3;0,43; ;19;0,61;12;24;0,45;13;35
17/01/2017;4;0,4; ;18;0,55;11;25;0,44;11;36
17/01/2017;5;0,37; ;19;0,5;11;25;0,45;13;35
17/01/2017;6;0,35; ;19;0,46;13;26;0,45;12;36
17/01/2017;7;0,33; ;19;0,45;16;26;0,45;14;37
17/01/2017;8;0,32; ;19;0,45;20;27;0,46;12;37
17/01/2017;9;0,33; ;20;0,48;22;29;0,47;12;37
17/01/2017;10;0,36; ;20;0,52;20;29;0,48;13;38
17/01/2017;11;0,39; ;22;0,6;18;30;0,47;11;37
17/01/2017;12;0,41; ;22;0,69;19;30;0,49;10;36
17/01/2017;13;0,44; ;22;0,79;25;32;0,47;12;36
17/01/2017;14;0,48; ;22;0,87;24;32;0,45;11;35
17/01/2017;15;0,51; ;22;0,94;26;33;0,43;12;35
17/01/2017;16;0,53; ;23;0,98;28;33;0,39;12;35
17/01/2017;17;0,53; ;23;1;28;33;0,35;11;36
17/01/2017;18;0,53; ;24;0,98;29;34;0,37;30;31
17/01/2017;19;0,53; ;24;0,96;31;34;0,4;37;29
17/01/2017;20;0,56; ;25;0,92;33;35;0,41;40;37
17/01/2017;21;0,57; ;24;0,9;33;34;0,44;32;43
17/01/2017;22;0,6; ;25;0,89;36;34;0,51;32;42
17/01/2017;23;0,66; ;26;0,88;32;35;0,55;26;42
17/01/2017;24;0,72; ;27;0,78;14;37;0,54;18;40
18/01/2017;1;0,71; ;29;0,69;11;37;0,56;19;39
18/01/2017;2;0,68; ;28;0,63;11;37;0,53;19;39
18/01/2017;3;0,62; ;28;0,55;14;37;0,49;18;39
18/01/2017;4;0,56; ;28;0,47;18;37;0,46;16;39
18/01/2017;5;0,51; ;29;0,37;17;38;0,43;16;39
18/01/2017;6;0,43; ;29;0,27;21;38;0,4;15;40
18/01/2017;7;0,34; ;29;0,19;22;38;0,4;14;40
18/01/2017;8;0,26; ;30;0,2;27;38;0,45;18;40
18/01/2017;9;0,26; ;30;0,25;28;38;0,48;19;42
18/01/2017;10;0,29; ;30;0,28;18;37;0,51;18;41
18/01/2017;11;0,31; ;29;0,32;16;37;0,53;19;41
18/01/2017;12;0,33; ;29;0,35;12;37;0,54;16;42
18/01/2017;13;0,35; ;29;0,41;16;37;0,53;14;42
18/01/2017;14;0,37; ;29;0,45;13;36;0,51;13;42
18/01/2017;15;0,38; ;29;0,46;13;36;0,48;16;43
18/01/2017;16;0,38; ;29;0,46;13;36;0,44;19;44
18/01/2017;17;0,37; ;28;0,47;16;35;0,42;19;44
18/01/2017;18;0,35; ;28;0,49;15;34;0,41;19;43
18/01/2017;19;0,35; ;27;0,49;13;33;0,4;20;41
18/01/2017;20;0,36; ;27;0,49;13;33;0,41;18;37
18/01/2017;21;0,36; ;26;0,47;19;33;0,43;21;31
18/01/2017;22;0,38; ;25;0,47;23;32;0,46;21;36
